ciclo,semana,dia,salmo_manha,salmo_noite,antigo_testamento,novo_testamento,evangelho
Ímpar,Primeira Semana do Advento,Seg,"Salmo 1, 2, 3","Salmo 4, 7",Isaías 1:10-20,1 Tessalonicenses 1:1-10,Lucas 20:1-8
Ímpar,Primeira Semana do Advento,Ter,"Salmo 5, 6","Salmo 10, 11",Isaías 1:21-31,1 Tessalonicenses 2:1-12,Lucas 20:9-18
Ímpar,Primeira Semana do Advento,Qua,Salmo 119:1-24,"Salmo 12, 13, 14",Isaías 2:1-11,1 Tessalonicenses 2:13-20,Lucas 20:19-26
Ímpar,Primeira Semana do Advento,Qui,Salmo 18:1-20,Salmo 18:21-50,Isaías 2:12-22,1 Tessalonicenses 3:1-13,Lucas 20:27-40
Ímpar,Primeira Semana do Advento,Sex,"Salmo 16, 17",Salmo 22,Isaías 3:8-15,1 Tessalonicenses 4:1-12,Lucas 20:41-21:4
Ímpar,Primeira Semana do Advento,Sab,"Salmo 20, 21:1-7(8-14)","Salmo 110:1-5(6-7), 116, 117",Isaías 4:2-6,1 Tessalonicenses 4:13-18,Lucas 21:5-19
Ímpar,Segunda Semana do Advento,Seg,Salmo 25,"Salmo 9, 15","Isaías 5:8-12, 18-23",1 Tessalonicenses 5:1-11,Lucas 21:20-28
Ímpar,Segunda Semana do Advento,Ter,"Salmo 26, 28","Salmo 36, 39","Isaías 5:13-17, 24-25",1 Tessalonicenses 5:12-28,Lucas 21:29-38
Ímpar,Segunda Semana do Advento,Qua,Salmo 38,Salmo 119:25-48,Isaías 6:1-13,2 Tessalonicenses 1:1-12,João 7:53-8:11
Ímpar,Segunda Semana do Advento,Qui,Salmo 37:1-18,Salmo 37:19-42,Isaías 7:1-9,2 Tessalonicenses 2:1-12,Lucas 22:1-13
Ímpar,Segunda Semana do Advento,Sex,Salmo 31,Salmo 35,Isaías 7:10-25,2 Tessalonicenses 2:13-3:5,Lucas 22:14-30
Ímpar,Segunda Semana do Advento,Sab,"Salmo 30, 32","Salmo 42, 43",Isaías 8:1-15,2 Tessalonicenses 3:6-18,Lucas 22:31-38
Ímpar,Terceira Semana do Advento,Seg,"Salmo 41, 52",Salmo 44,Isaías 8:16-9:1,2 Pedro 1:1-11,Lucas 22:39-53
Ímpar,Terceira Semana do Advento,Ter,Salmo 45,"Salmo 47, 48",Isaías 9:1-7,2 Pedro 1:12-21,Lucas 22:54-69
Ímpar,Terceira Semana do Advento,Qua,Salmo 119:49-72,"Salmo 49, Salmo (53)",Isaías 9:8-17,2 Pedro 2:1-10a,Marcos 1:1-8
Ímpar,Terceira Semana do Advento,Qui,Salmo 50,"Salmo [59, 60] ou 33",Isaías 9:18-10:4,2 Pedro 2:10b-16,Mateus 3:1-12
Ímpar,Terceira Semana do Advento,Sex,"Salmo 40, 54",Salmo 51,Isaías 10:5-19,2 Pedro 2:17-22,Mateus 11:2-15
Ímpar,Terceira Semana do Advento,Sab,Salmo 55,"Salmo 138, 139:1-17(18-23)",Isaías 10:20-27,Judas 1:17-25,Lucas 3:1-9
Ímpar,Quarta Semana do Advento,Seg,"Salmo 61, 62","Salmo 112, 115",Isaías 11:1-9,Apocalipse 20:1-10,João 5:30-47
Ímpar,Quarta Semana do Advento,Ter,"Salmo 66, 67","Salmo 116, 117",Isaías 11:10-16,Apocalipse 20:11-21:8,Lucas 1:5-25
Ímpar,Quarta Semana do Advento,Qua,Salmo 72,"Salmo 111, 113",Isaías 28:9-22,Apocalipse 21:9-21,Lucas 1:26-38
Ímpar,Quarta Semana do Advento,Qui,Salmo 80,"Salmo 146, 147",Isaías 29:13-24,"Apocalipse 22:6-11, 18-20",Lucas 1:57-66
Ímpar,Quarta Semana do Advento,Sex,"Salmo 93, 96","Salmo 148, 150",Isaías 33:17-22,"Apocalipse 22:12-17, 21",Lucas 1:67-80
Ímpar,Quarta Semana do Advento,24 Dez,"Salmo 45, 46",Salmo 89:1-29,Isaías 35:1-10,"Apocalipse 22:12-17, 21",Lucas 1:67-80
Ímpar,Dia de Natal,25 Dez,"Salmo 2, 85","Salmo 110:1-5(6-7), 132",Zacarias 2:10-13,João 3:31-26,João 4:7-16
Ímpar,Primeira Semana do Natal,29 Dez,Salmo 18:1-20,Salmo 18:21-50,Isaías 12:1-6,Apocalipse 1:1-8,João 7:37-52
Ímpar,Primeira Semana do Natal,30 Dez,"Salmo 20, 21:1-7(8-14)","Salmo 23, 27",Isaías 25:1-9,Apocalipse 1:9-20,João 7:53-8:11
Ímpar,Primeira Semana do Natal,31 Dez,"Salmo 46, 48",Salmo 90,Isaías 26:1-9 / Isaías 65:15b-25,2 Coríntios 5:16-6:2 / Apocalipse 21:1-6,João 8:12-19
Ímpar,Primeiro Domingo depois do Natal,Seg,"Salmo 93, 96",Salmo 34,"Isaías 62:6-7, 10-12",Hebreus 2:10-18,Mateus 1:18-25
Ímpar,Segunda Semana do Natal,2 Jan,Salmo 34,Salmo 33,Gênesis 12:1-7,Hebreus 11:1-12,"João 6:35-42, 48-51"
Ímpar,Segunda Semana do Natal,3 Jan,Salmo 68,Salmo 72,Gênesis 28:10-22,Hebreus 11:13-22,João 10:7-17
Ímpar,Segunda Semana do Natal,4 Jan,"Salmo 85, 87",Salmo 89:1-29,Êxodo 3:1-12,Hebreus 11:23-31,João 14:6-14
Ímpar,Segunda Semana do Natal,5 Jan,"Salmo 2, 110:1-5(6-7)","",Josué 1:1-9,Hebreus 11:32-12:2,João 15:1-16
Ímpar,Santo Nome de Jesus,1 Jan,Salmo 103,Salmo 148,"Gênesis 17:1-12a, 15-16",Colossenses 2:6-12,João 16:23b-30
Ímpar,Tempo da Epifania,7 Jan,Salmo 103,"Salmo 114, 115",Isaías 52:3-6,Apocalipse 2:1-7,João 2:1-11
Ímpar,Tempo da Epifania,8 Jan,"Salmo 117, 118","Salmo 112, 113",Isaías 59:15-21,Apocalipse 2:8-17,João 4:46-54
Ímpar,Tempo da Epifania,9 Jan,"Salmo 121, 122, 123","Salmo 131, 132",Isaías 63:1-5,Apocalipse 2:18-29,João 5:1-15
Ímpar,Tempo da Epifania,10 Jan,"Salmo 138, 139:1-17(18-23)",Salmo 147,Isaías 65:1-9,Apocalipse 3:7-13,João 6:1-14
Ímpar,Tempo da Epifania,11 Jan,"Salmo 148, 150","Salmo 91, 92",Isaías 65:13-16,Apocalipse 3:14-22,João 6:15-27
Ímpar,Tempo da Epifania,12 Jan,"Salmo 98, 99(100)",Salmo 104,"Isaías 66:1-2, 22-23",Apocalipse 3:14-22,"João 9:1-12, 35-38"
Ímpar,Primeira Semana da Epifania,Seg,"Salmo 1, 2, 3","Salmo 4, 7",Isaías 40:12-23,Efésios 1:1-14,Marcos 1:1-13
Ímpar,Primeira Semana da Epifania,Ter,"Salmo 5, 6","Salmo 10, 11",Isaías 40:25-31,Efésios 1:15-23,Marcos 1:14-28
Ímpar,Primeira Semana da Epifania,Qua,Salmo 119:1-24,"Salmo 12, 13, 14",Isaías 41:1-16,Efésios 2:1-10,Marcos 1:29-45
Ímpar,Primeira Semana da Epifania,Qui,Salmo 18:1-20,Salmo 18:21-50,Isaías 41:17-29,Efésios 2:11-22,Marcos 2:1-12
Ímpar,Primeira Semana da Epifania,Sex,"Salmo 16, 17",Salmo 22,Isaías 42:(1-9)10-17,Efésios 3:1-13,Marcos 2:13-22
Ímpar,Primeira Semana da Epifania,Sab,"Salmo 20, 21:1-7(8-14)","Salmo 110:1-5(6-7), 116, 117",Isaías 43:1-13,Efésios 3:14-21,Marcos 2:23-3:6
Ímpar,Segunda Semana da Epifania,Seg,Salmo 25,"Salmo 9, 15","Isaías 44:6-8, 21-23",Efésios 4:1-16,Marcos 3:7-19a
Ímpar,Segunda Semana da Epifania,Ter,"Salmo 26, 28","Salmo 36, 39",Isaías 44:9-20,Efésios 4:17-32,Marcos 3:19b-35
Ímpar,Segunda Semana da Epifania,Qua,Salmo 38,Salmo 119:25-48,Isaías 44:24-45:7,Efésios 5:1-14,Marcos 4:1-20
Ímpar,Segunda Semana da Epifania,Qui,Salmo 37:1-18,Salmo 37:19-42,Isaías 45:5-17,Efésios 5:15-33,Marcos 4:21-34
Ímpar,Segunda Semana da Epifania,Sex,Salmo 31,Salmo 35,Isaías 45:18-25,Efésios 6:1-9,Marcos 4:35-41
Ímpar,Segunda Semana da Epifania,Sab,"Salmo 30, 32","Salmo 42, 43",Isaías 46:1-13,Efésios 6:10-24,Marcos 5:1-20
Ímpar,Terceira Semana da Epifania,Seg,"Salmo 41, 52",Salmo 44,Isaías 48:1-11,Gálatas 1:1-17,Marcos 5:21-43
Ímpar,Terceira Semana da Epifania,Ter,Salmo 45,"Salmo 47, 48",Isaías 48:12-21,Gálatas 1:18-2:10,Marcos 6:1-13
Ímpar,Terceira Semana da Epifania,Qua,Salmo 119:49-72,"Salmo 49, [53]",Isaías 49:1-12,Gálatas 2:11-21,Marcos 6:13-29
Ímpar,Terceira Semana da Epifania,Qui,Salmo 50,"Salmo [59, 60] ou 118",Isaías 49:13-23,Gálatas 3:1-14,Marcos 6:30-46
Ímpar,Terceira Semana da Epifania,Sex,"Salmo 40, 54",Salmo 51,Isaías 50:1-11,Gálatas 3:15-22,Marcos 6:47-56
Ímpar,Terceira Semana da Epifania,Sab,Salmo 55,"Salmo 138, 139:1-17(18-23)",Isaías 51:1-8,Gálatas 3:23-29,Marcos 7:1-23
Ímpar,Quarta Semana da Epifania,Seg,"Salmo 56, 57, [58]","Salmo 64, 65",Isaías 51:17-23,Gálatas 4:1-11,Marcos 7:24-37
Ímpar,Quarta Semana da Epifania,Ter,"Salmo 61, 62",Salmo 68:1-20(21-23)24-36,Isaías 52:1-12,Gálatas 4:12-20,Marcos 8:1-10
Ímpar,Quarta Semana da Epifania,Qua,Salmo 72,Salmo 119:73-96,Isaías 54:1-10(11-17),Gálatas 4:21-31,Marcos 8:11-26
Ímpar,Quarta Semana da Epifania,Qui,"Salmo [70], 71",Salmo 74,Isaías 55:1-13,Gálatas 5:1-15,Marcos 8:27-9:1
Ímpar,Quarta Semana da Epifania,Sex,Salmo 69:1-23(24-30)31-38,Salmo 73,Isaías 56:1-8,Gálatas 5:16-24,Marcos 9:2-13
Ímpar,Quarta Semana da Epifania,Sab,"Salmo 75, 76","Salmo 23, 27",Isaías 57:3-13,Gálatas 5:25-6:10,Marcos 9:14-29
Ímpar,Quinta Semana da Epifania,Seg,Salmo 80,"Salmo 77, [79]",Isaías 58:1-12,2 Timóteo 1:1-14,Marcos 9:30-41
Ímpar,Quinta Semana da Epifania,Ter,Salmo 78:1-39,Salmo 78:40-72,Isaías 59:1-15a,2 Timóteo 1:15-2:13,Marcos 9:42-50
Ímpar,Quinta Semana da Epifania,Qua,Salmo 119:97-120,"Salmo 81, 82",Isaías 59:15b-21,2 Timóteo 2:14-26,Marcos 10:1-16
Ímpar,Quinta Semana da Epifania,Qui,"Salmo [83] ou 146, 147","Salmo 85, 86",Isaías 60:1-17,2 Timóteo 3:1-17,Marcos 10:17-31
Ímpar,Quinta Semana da Epifania,Sex,Salmo 88,"Salmo 91, 92",Isaías 61:1-9,2 Timóteo 4:1-8,Marcos 10:32-45
Ímpar,Quinta Semana da Epifania,Sab,"Salmo 87, 90",Salmo 136,Isaías 61:10-62:5,2 Timóteo 4:1-8,Marcos 10:46-52
Ímpar,Sexta Semana da Epifania,Seg,Salmo 89:1-18,Salmo 89:19-52,Isaías 63:1-6,1 Timóteo 1:1-17,Marcos 11:1-11
Ímpar,Sexta Semana da Epifania,Ter,"Salmo 97, 99, [100]","Salmo 94, [95]",Isaías 63:7-14,1 Timóteo 1:18-2:8,Marcos 11:12-26
Ímpar,Sexta Semana da Epifania,Qua,"Salmo 101, 109:1-4(5-19)20-30",Salmo 119:121-144,Isaías 63:15-64:9,1 Timóteo 3:1-16,Marcos 11:27-12:12
Ímpar,Sexta Semana da Epifania,Qui,Salmo 105:1-22,Salmo 105:23-45,Isaías 65:1-12,1 Timóteo 4:1-16,Marcos 12:13-27
Ímpar,Sexta Semana da Epifania,Sex,Salmo 102,Salmo 107:1-32,Isaías 65:17-25,1 Timóteo 5:17-22(23-25),Marcos 12:28-34
Ímpar,Sexta Semana da Epifania,Sab,"Salmo 107:33-43, 108:1-6(7-13)",Salmo 33,Isaías 66:1-6,1 Timóteo 6:6-21,Marcos 12:35-44
Ímpar,Sétima Semana da Epifania,Seg,Salmo 106:1-18,Salmo 106:19-48,Rute 1:1-14,2 Coríntios 1:1-11,Mateus 5:1-12
Ímpar,Sétima Semana da Epifania,Ter,"Salmo [120], 121, 122, 123","Salmo 124, 125, 126, [127]",Rute 1:15-22,2 Coríntios 1:12-22,Mateus 5:13-20
