ano,semana,dia,tipo,salmo,antigo_testamento,novo_testamento
Ano A,Primeiro Domingo do Advento,Qui,,Salmo 122,Daniel 9.15-19,Tiago 4.1-10
Ano A,Primeiro Domingo do Advento,Sex,,Salmo 122,Gênesis 6.1-10,Hebreus 11.1-7
Ano A,Primeiro Domingo do Advento,Sab,,Salmo 122,Gênesis 6.11-22,Mateus 24.1-22
Ano A,Primeiro Domingo do Advento,Seg,,Salmo 124,Gênesis 8.1-19,Romanos 6.1-11
Ano A,Primeiro Domingo do Advento,Ter,,Salmo 124,Gênesis 9.1-17,Hebreus 11.32-40
Ano A,Primeiro Domingo do Advento,Qua,,Salmo 124,Isaías 54.1-10,Mateus 24.23-35
Ano A,Segundo Domingo do Advento,Qui,,Salmo 72.1-7; 18-19,Isaías 4.2-6,"Atos 1.12-17, 21-26"
Ano A,Segundo Domingo do Advento,Sex,,Salmo 72.1-7; 18-19,Isaías 30.19-26,Atos 13.16-25
Ano A,Segundo Domingo do Advento,Sab,,Salmo 72.1-7; 18-19,Isaías 40.1-11,João 1.19-28
Ano A,Segundo Domingo do Advento,Seg,,Salmo 21,Isaías 24.1-16a,I Tessalonicenses 4.1-12
Ano A,Segundo Domingo do Advento,Ter,,Salmo 21,Isaías 41.14-20,Romanos 15.14-21
Ano A,Segundo Domingo do Advento,Qua,,Salmo 21,Gênesis 15.1-18,Mateus 12.33-37
Ano A,Terceiro Domingo do Advento,Qui,,Salmo 146.5-10,Rute 1.6-18,II Pedro 3.1-10
Ano A,Terceiro Domingo do Advento,Sex,,Salmo 146.5-10,Rute 4.13-17,II Pedro 3.11-8
Ano A,Terceiro Domingo do Advento,Sab,,Salmo 146.5-10,I Samuel 2.1-8,Lucas 3.1-18
Ano A,Terceiro Domingo do Advento,Seg,,Salmo 42,Isaías 29.17-24,Atos 5.12-16
Ano A,Terceiro Domingo do Advento,Ter,,Salmo 42,Ezequiel 47.1-12,Judas 17-25
Ano A,Terceiro Domingo do Advento,Qua,,Salmo 42,Zacarias 8.1-17,"Mateus 8.14-17, 28-34"
